Tôi có báo cáo tài chính qua các năm như sau:
"Năm - tỷ đ|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028
I. Kết quả kinh doanh Thu nhập lãi thuần|14,258|18,751|26,699|30,290|27,691|38,384|48,273|60,559|71,773|85,293
Lãi thuần từ HĐ dịch vụ|3,253|4,189|6,382|8,153|8,715|8,976|9,874|10,861|11,948|13,142
Lãi thuần từ HĐ đầu tư|1,750|1,823|2,192|-83|1,221|1,380|1,638|1,953|2,321|2,655
Lãi thuần từ HĐ khác|1,807|2,279|1,803|2,167|2,434|2,734|3,070|3,448|3,872|4,349
Tổng thu nhập HĐ (TOI)|21,068|27,043|37,076|40,527|40,061|51,474|62,855|76,821|89,913|105,440
YoY%|14.8|28.4|37.1|9.3|-1.2|28.5|22.1|22.2|17.0|17.3
Chi phí dự phòng|-917|-2,611|-2,665|-1,936|-3,921|-3,299|-4,062|-5,281|-5,992|-7,271
Lợi nhuận trước dự phòng|13,756|18,411|25,903|27,504|26,809|48,175|58,793|71,539|83,921|98,169
Chi phí hoạt động|-7,313|-8,631|-11,173|-13,023|-13,252|-14,946|-16,651|-18,726|-20,701|-23,030
LN trước thuế|12,838|15,800|23,238|25,568|22,888|33,229|42,605|52,852|63,872|75,061
LN sau thuế|10,226|12,582|18,415|20,436|18,191|26,410|33,861|42,005|50,763|59,656
LNST & CĐ thiểu số|10,075|12,325|18,052|20,150|18,004|26,222|33,674|41,818|50,576|59,469
YoY%|19.1|22.3|46.5|11.6|-10.7|45.6|28.4|24.2|20.9|17.6
II. Bảng cân đối kế toán Tiền & tương đương|4,821|3,664|3,579|4,216|3,621|11,951|5,556|16,858|5,368|5,466
Tiền gửi tại NHNN|3,192|10,253|4,909|11,476|27,141|31,682|37,266|43,891|51,759|61,110
Tiền gửi TCTD khác|38,596|21,113|39,451|69,925|80,127|80,271|93,709|87,658|102,656|120,401
Cho vay TCTD khác|9,394|7,882|31,065|13,050|24,047|27,872|32,538|38,046|44,556|52,258
Chứng khoán đầu tư|76,108|92,807|102,670|104,626|112,473|132,865|158,341|188,864|223,830|248,331
Cho vay khách hàng|230,802|277,525|347,341|420,524|518,642|617,183|740,620|888,744|1,066,493|1,279,792
Nợ xấu|3,078|1,295|2,294|3,033|5,999|7,310|8,766|10,517|12,607|---
Dự phòng cho vay KH|-2,917|-2,214|-3,736|-4,771|-6,128|7,292|8,751|10,501|12,601|15,121
Cho vay KH ròng|227,885|275,310|343,606|415,752|512,514|609,891|731,870|878,243|1,053,892|1,264,671
Tài sản cố định|3,208|4,613|7,224|8,411|8,893|9,472|10,160|10,972|11,922|13,030
Lãi, phí phải thu|5,554|5,185|5,808|8,029|9,681|11,521|13,825|16,590|19,908|23,889
Tài sản khác|19,334|22,836|34,711|70,517|80,543|73,221|75,417|77,680|80,010|82,410
Tổng tài sản|383,699|439,603|568,729|699,033|849,482|988,640|1,158,558|1,358,679|1,593,759|1,871,399
Tiền gửi của TCTD|38,632|21,232|45,606|61,294|50,620|55,682|61,250|67,375|74,112|81,523
Vay các TCTD|22,634|26,253|66,853|106,269|102,553|112,809|124,090|136,498|150,148|165,163
Nợ CP & NHNN|0|0|1|8|0|0|0|0|0|0
Tiền gửi khách hàng|231,297|277,459|314,753|358,404|454,661|541,046|649,256|779,107|934,928|1,121,914
PH giấy tờ có giá|17,461|27,900|33,680|34,007|84,703|93,174|102,491|112,740|124,014|136,416
Lãi & phí phải trả|3,479|3,252|3,122|6,144|9,419|12,073|14,093|16,479|19,299|22,635
Nợ phải trả khác|11,169|11,878|14,796|23,775|25,329|17,501|19,251|21,176|23,294|25,623
Tổng nợ phải trả|321,627|364,988|475,687|585,608|717,866|832,284|970,431|1,133,376|1,325,796|1,553,274
Vốn điều lệ|35,001|35,049|35,109|35,172|35,225|70,450|70,450|70,450|70,450|70,450
Quỹ của TCTD|5,173|6,790|9,156|11,609|45,029|37,456|40,212|43,635|47,775|52,643
Lợi nhuận chưa PP|21,131|31,816|47,453|64,483|49,013|34,316|59,963|91,813|130,333|175,626
Vốn chủ sở hữu|62,073|74,615|93,041|113,425|131,616|156,356|188,127|225,304|267,963|318,124
Lợi ích không kiểm soát|291|484|847|1,129|1,317|---|---|---|---|---"
Đánh giá báo cáo tài chính theo tiêu chuẩn đầu tư chứng khoán giúp tôi
